EEG0,EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,EEG9,EEG10,EEG11,EEG12,EEG13,EEG14,EEG15
2314.6853,14760.401,19244.004,15623.87,3445.551,17231.467,23761.432,8791.939,19545.787,25822.797,19724.518,18545.504,41608.766,4528.6587,14541.736,18810.383
2314.588,14760.438,19244.15,15624.211,3432.118,17240.3,23772.906,8782.218,19533.023,25814.086,19701.62,18523.883,41571.56,4509.239,14525.614,18833.307
2307.4211,14761.059,19242.227,15596.128,3422.1282,17244.193,23769.682,8793.156,19525.357,25818.125,19687.053,18518.31,41560.484,4506.3433,14534.85,18840.06
2324.0178,14789.641,19264.592,15615.499,3450.3694,17265.328,23791.777,8793.193,19553.574,25844.055,19719.992,18553.012,41567.164,4537.468,14555.984,18869.152
2327.4492,14758.99,19267.256,15613.431,3443.9329,17268.857,23769.96,8802.222,19550.13,25833.71,19698.018,18536.623,41579.793,4528.464,14532.367,18879.91
2323.0203,14738.123,19265.941,15605.461,3427.555,17266.559,23757.635,8799.995,19541.334,25827.785,19693.611,18522.398,41545.52,4519.703,14528.948,18893.525
2319.0413,14736.833,19265.516,15609.232,3433.4077,17270.354,23753.303,8790.979,19541.541,25833.65,19687.418,18531.062,41544.836,4526.0913,14528.157,18886.71
2316.778,14747.905,19264.822,15602.151,3439.029,17271.035,23747.719,8776.328,19547.527,25838.19,19698.479,18536.1,41554.496,4531.0923,14533.158,18898.818
2332.3042,14762.081,19279.484,15607.9795,3444.821,17292.828,23764.193,8809.388,19553.865,25851.646,19712.922,18533.64,41569.61,4532.1265,14543.695,18911.922
2329.1162,14752.456,19272.512,15589.983,3445.7822,17282.729,23756.613,8808.622,19552.723,25846.586,19687.504,18539.08,41565.484,4533.465,14537.441,18909.854
2301.459,14742.552,19259.664,15592.355,3439.5889,17276.645,23746.186,8805.458,19534.422,25834.246,19677.05,18528.945,41567.844,4517.732,14524.312,18912.385
2286.7117,14735.969,19245.56,15581.551,3423.6736,17265.098,23745.395,8801.54,19520.879,25824.72,19680.227,18511.787,41568.31,4500.5024,14518.046,18893.416
2287.2107,14735.3,19245.488,15567.692,3422.834,17264.344,23742.098,8807.186,19522.352,25824.975,19679.559,18514.062,41584.37,4503.094,14516.731,18910.098
2289.8267,14739.997,19248.14,15570.126,3434.442,17263.564,23738.312,8805.665,19530.639,25833.262,19686.627,18525.879,41585.523,4513.5464,14524.239,18890.021
2295.29,14743.185,19247.18,15568.617,3429.599,17260.316,23745.2,8801.734,19527.547,25828.844,19684.45,18510.34,41589.992,4505.917,14524.567,18898.318
2289.4983,14727.878,19244.064,15565.039,3418.7212,17258.479,23743.277,8783.094,19518.664,25839.734,19672.281,18505.107,41581.047,4507.6206,14526.198,18893.805
2275.8218,14746.993,19232.518,15548.114,3430.4753,17245.35,23756.127,8798.279,19518.02,25821.082,19664.896,18513.637,41581.06,4506.903,14519.53,18879.982
2267.7544,14737.782,19221.906,15547.299,3409.401,17241.104,23747.768,8794.653,19511.389,25812.953,19667.086,18498.83,41566.87,4491.109,14513.3125,18882.879
2271.3074,14756.289,19224.012,15550.6455,3416.5798,17241.918,23767.49,8798.668,19518.19,25821.97,19654.797,18503.113,41567.14,4493.713,14523.752,18876.72
2256.0005,14746.421,19212.879,15542.87,3410.7637,17224.299,23746.988,8778.543,19502.057,25805.592,19669.764,18499.268,41560.617,4487.191,14509.042,18874.678
2259.9185,14748.526,19218.414,15537.856,3417.7966,17232.33,23757.416,8787.705,19509.783,25824.94,19668.863,18502.297,41550.945,4496.84,14522.584,18869.676
2265.6372,14752.518,19220.69,15546.496,3412.9417,17229.701,23752.414,8805.409,19508.992,25812.188,19669.033,18493.184,41565.45,4490.781,14514.177,18850.926
2267.791,14760.828,19218.086,15558.7,3417.8816,17218.52,23754.775,8795.2,19517.363,25811.25,19676.03,18509.586,41573.676,4501.61,14517.012,18837.797
2269.4094,14760.122,19215.252,15561.499,3417.3584,17220.43,23761.262,8782.011,19514.771,25810.715,19670.969,18500.447,41561.41,4492.5815,14514.225,18835.79
2264.4814,14739.681,19206.562,15550.475,3402.441,17207.375,23742.559,8791.623,19507.738,25801.09,19664.934,18484.217,41526.5,4483.5527,14508.652,18819.582
2276.345,14749.889,19219.936,15562.387,3424.7444,17217.023,23757.062,8791.088,19524.371,25815.8,19676.613,18506.957,41542.293,4506.9756,14524.166,18828.197
2266.2944,14743.209,19211.225,15560.586,3418.2468,17208.152,23747.475,8778.312,19515.27,25808.379,19656.842,18496.822,41528.87,4496.3774,14511.609,18812.135
2263.9946,14720.297,19203.607,15560.805,3402.7937,17204.162,23738.592,8778.202,19512.934,25806.42,19669.8,18484.8,41517.543,4486.7407,14509.029,18809.92
2274.6658,14727.439,19202.086,15553.018,3409.255,17197.969,23733.518,8774.759,19518.457,25803.451,19673.037,18494.375,41528.117,4487.7993,14505.817,18793.14
2264.3477,14746.3,19204.957,15564.93,3426.2532,17201.826,23745.479,8776.328,19521.78,25817.469,19685.338,18509.22,41538.605,4501.33,14520.272,18795.502
2273.9236,14731.808,19211.783,15587.209,3419.3662,17205.428,23729.236,8777.229,19525.309,25812.064,19694.549,18497.332,41542.22,4495.2095,14511.293,18790.55
2257.3025,14702.824,19195.016,15551.01,3406.6265,17187.48,23719.902,8766.704,19509.418,25803.451,19664.117,18490.227,41532.9,4486.23,14504.686,18782.24
2271.7334,14727.622,19207.768,15566.354,3427.9202,17196.8,23739.348,8788.436,19525.904,25799.191,19680.398,18516.545,41552.125,4505.5645,14512.813,18779.54
2261.8289,14714.286,19191.414,15545.547,3405.9817,17181.178,23730.246,8775.416,19505.486,25790.443,19652.79,18486.855,41528.3,4475.9604,14496.776,18752.842
2267.791,14708.117,19199.713,15562.897,3406.7969,17182.674,23719.879,8769.345,19518.227,25799.994,19678.146,18500.277,41561.215,4491.2188,14503.433,18766.555
2276.5273,14702.106,19203.594,15574.238,3421.4956,17190.693,23711.762,8759.257,19525.99,25811.31,19712.703,18510.9,41565.633,4499.9062,14498.724,18766.045
2269.4094,14710.6,19195.686,15564.723,3413.842,17179.303,23722.494,8773.627,19514.697,25792.158,19688.72,18499.305,41552.977,4485.013,14496.825,18760.045
2270.3218,14729.216,19194.066,15559.406,3412.2966,17177.783,23726.035,8764.502,19509.102,25789.129,19669.617,18497.527,41570.523,4481.862,14503.25,18754.07
2262.1575,14743.695,19186.256,15556.072,3416.665,17169.824,23729.332,8756.836,19508.395,25789.408,19670.834,18504.098,41569.184,4484.0273,14505.439,18747.635
2259.7847,14761.947,19186.889,15553.821,3424.4644,17169.229,23756.576,8766.473,19507.678,25794.41,19668.68,18501.043,41562.113,4484.843,14518.472,18737.693
2253.1167,14755.328,19178.602,15548.248,3411.7734,17159.664,23732.156,8761.168,19493.125,25786.428,19667.22,18488.195,41553.438,4473.125,14504.71,18730.697
2255.6233,14744.231,19181.826,15560.392,3417.0542,17157.584,23715.412,8742.7705,19502.043,25791.611,19671.38,18504.84,41562.832,4486.814,14503.992,18726.268
2261.9504,14756.873,19185.197,15564.395,3423.1868,17160.213,23735.867,8747.637,19507.41,25794.18,19677.72,18505.57,41547.78,4488.9067,14512.461,18721.46
2259.213,14742.102,19174.879,15557.325,3400.6157,17148.082,23730.514,8756.143,19496.629,25773.992,19672.307,18481.637,41520.04,4462.1743,14494.61,18698.586
2244.8428,14730.043,19162.42,15544.488,3395.627,17139.234,23713.723,8716.694,19484.607,25782.582,19648.129,18476.732,41526.83,4455.932,14482.333,18690.908
2228.161,14730.737,19146.82,15527.368,3388.6914,17119.96,23708.16,8741.03,19472.695,25754.062,19623.441,18469.48,41509.293,4446.9526,14472.538,18685.02
2231.081,14727.634,19148.975,15526.857,3379.882,17126.41,23733.543,8756.154,19473.826,25752.055,19635.768,18459.504,41502.82,4444.6284,14481.8955,18691.846
2239.1848,14739.984,19160.01,15543.04,3396.9412,17138.883,23728.773,8735.858,19486.129,25772.312,19654.055,18478.291,41546.977,4457.599,14489.695,18692.027
2247.398,14728.534,19163.027,15549.793,3396.2231,17139.248,23709.219,8751.008,19492.625,25763.553,19670.043,18486.37,41542.246,4462.393,14474.278,18693.89
2266.4526,14750.826,19181.412,15563.372,3408.9749,17162.95,23720.037,8752.735,19508.371,25788.898,19684.547,18494.79,41554.973,4472.261,14499.5625,18709.525
2254.954,14760.499,19182.678,15580.626,3417.9912,17154.434,23735.781,8758.904,19509.832,25785.516,19691.592,18506.398,41560.277,4477.1284,14509.139,18705.205
2253.6643,14760.146,19177.994,15569.432,3422.335,17151.05,23721.57,8748.331,19506.254,25781.33,19683.062,18510.924,41558.332,4478.406,14497.592,18698.05
2243.6746,14736.443,19166.836,15552.19,3395.262,17141.486,23713.527,8736.467,19484.254,25770.488,19659.957,18479.191,41560.19,4455.056,14485.777,18691.602
2231.4949,14722.269,19155.824,15532.661,3384.2625,17130.924,23722.459,8746.858,19477.562,25765.037,19655.041,18474.385,41544.434,4449.2036,14488.855,18683.621
2240.4624,14739.23,19161.422,15544.878,3401.808,17133.104,23724.928,8733.888,19490.484,25770.512,19659.445,18491.516,41547.55,4463.683,14494.915,18678.156
2260.3445,14747.042,19173.59,15568.361,3408.3423,17147.62,23732.57,8727.244,19501.922,25788.85,19674.79,18493.889,41555.348,4467.6133,14503.505,18683.96
2243.2974,14730.348,19158.318,15538.234,3389.4458,17129.465,23732.74,8744.96,19481.018,25760.96,19660.602,18474.848,41521.39,4445.334,14491.423,18676.004
2229.0854,14728.583,19146.09,15534.705,3388.8496,17116.385,23728.115,8728.729,19481.334,25758.236,19642.605,18482.195,41516.96,4446.831,14485.838,18663.678
2236.6416,14747.93,19152.611,15551.241,3396.783,17124.318,23736.426,8737.684,19496.29,25761.934,19690.254,18500.654,41556.324,4453.973,14496.765,18670.443
2251.0483,14753.7705,19163.367,15560.695,3400.7373,17133.018,23735.807,8730.882,19499.184,25780.113,19675.14,18500.934,41542.438,4453.827,14505.245,18657.594
2242.0686,14762.835,19156.129,15543.916,3401.7717,17125.254,23752.402,8716.014,19486.822,25774.953,19628.027,18492.076,41546.953,4446.137,14497.47,18646.484
2221.2861,14732.757,19136.465,15531.347,3377.4119,17104.363,23717.104,8732.829,19470.152,25734.643,19662.877,18477.195,41538.824,4435.9893,14471.236,18653.943
2242.5308,14742.819,19151.48,15543.064,3382.936,17120.838,23735.951,8744.097,19479.729,25752.273,19666.855,18477.975,41535.867,4438.8125,14485.777,18659.297
2236.0332,14747.699,19148.305,15544.598,3386.5986,17117.637,23723.066,8724.458,19476.053,25751.08,19650.977,18487.404,41537.035,4440.844,14482.103,18657.775
2250.9873,14758.845,19165.23,15560.866,3409.778,17129.951,23730.209,8718.337,19497.713,25768.115,19671.746,18511.326,41569.16,4463.8413,14497.579,18664.152
2271.6482,14763.407,19173.795,15550.974,3411.4329,17139.674,23745.613,8740.057,19507.873,25770.865,19677.648,18505.51,41556.055,4458.317,14498.298,18660.758
2227.9539,14731.297,19148.768,15539.9375,3389.2146,17118.344,23699.547,8721.915,19483.195,25752.99,19643.08,18489.193,41526.61,4443.363,14471.151,18647.566
2233.5876,14723.558,19156.797,15549.039,3402.9155,17123.904,23704.195,8710.951,19489.766,25765.852,19674.824,18505.861,41526.133,4458.8525,14483.55,18658.457
2246.534,14734.558,19160.326,15555.317,3403.9253,17126.057,23729.941,8726.623,19499.16,25763.273,19677.307,18505.436,41553.355,4456.9907,14494.38,18657.873
2254.358,14737.502,19164.379,15553.091,3408.4395,17127.955,23724.514,8727.414,19505.123,25768.213,19655.502,18509.635,41589.54,4461.1646,14497.068,18655.05
2255.5625,14746.044,19166.896,15557.642,3419.2202,17129.39,23728.445,8712.972,19512.143,25778.35,19675.092,18527.398,41599.273,4476.131,14501.352,18655.318
2260.6487,14742.028,19170.705,15565.526,3416.2756,17134.344,23713.637,8716.488,19508.395,25782.63,19687.21,18512.834,41592.824,4472.7236,14501.34,18656.998
2246.887,14726.515,19160.18,15547.067,3398.7053,17128.602,23727.799,8725.272,19495.133,25774.309,19658.629,18487.088,41528.203,4455.981,14497.823,18659.771
2255.757,14756.557,19171.703,15564.687,3418.3562,17138.043,23745.71,8714.042,19507.982,25795.506,19687.357,18519.307,41564.914,4475.9966,14516.524,18664.469
2263.0212,14787.39,19172.64,15569.249,3425.4377,17136.607,23744.104,8720.917,19507.787,25777.984,19693.807,18520.281,41589.758,4462.0283,14508.385,18651.863
2252.2651,14759.295,19156.664,15557.386,3394.5198,17120.959,23728.238,8734.886,19493.38,25744.705,19664.81,18495.715,41557.953,4446.478,14489.671,18660.441
2249.2717,14754.902,19158.27,15550.9375,3405.057,17122.188,23727.045,8727.682,19500.035,25760.693,19656.67,18509.111,41551.492,4460.8726,14491.873,18649.125
2245.4753,14756.63,19153.938,15550.426,3400.3723,17109.34,23717.336,8726.733,19490.68,25755.156,19672.355,18499.705,41551.004,4451.8315,14487.846,18643.21
2237.6638,14756.8125,19152.904,15546.423,3388.8252,17114.0,23733.47,8722.7295,19483.232,25751.617,19661.307,18491.139,41550.895,4445.541,14488.758,18640.46
2256.4263,14761.898,19161.75,15548.552,3400.482,17118.465,23732.533,8702.032,19498.223,25756.3,19664.969,18511.436,41569.05,4460.1543,14491.07,18642.797
2263.0942,14769.881,19171.836,15568.081,3418.551,17129.707,23750.662,8734.666,19510.768,25774.443,19682.393,18524.188,41570.777,4473.636,14506.158,18653.736
2249.7585,14766.145,19163.588,15564.699,3406.9795,17127.955,23745.783,8735.408,19494.646,25760.4,19663.875,18501.336,41563.367,4454.265,14494.404,18643.783
2233.8552,14725.456,19146.967,15538.636,3391.125,17115.021,23713.09,8706.851,19485.18,25760.863,19654.432,18496.748,41539.87,4450.493,14477.855,18648.127
2232.7358,14724.252,19141.041,15538.696,3392.2688,17104.13,23707.662,8713.799,19486.152,25746.104,19659.445,18493.828,41539.19,4443.448,14472.308,18630.266
2227.893,14719.664,19140.65,15563.056,3385.321,17106.139,23709.719,8710.063,19486.81,25747.613,19667.39,18488.742,41542.355,4440.2725,14478.951,18636.033
2239.1118,14720.528,19145.592,15552.531,3393.522,17112.588,23715.717,8713.556,19494.049,25754.365,19669.994,18500.033,41573.152,4446.271,14481.36,18639.84
2232.2612,14715.953,19142.135,15543.892,3398.3647,17107.355,23704.693,8710.197,19490.082,25754.16,19640.098,18497.393,41545.75,4452.4277,14476.7,18632.162
2234.2932,14706.073,19143.535,15546.642,3388.8618,17109.547,23707.297,8707.387,19485.059,25756.752,19645.83,18481.855,41539.29,4446.137,14474.12,18630.252
2232.529,14699.101,19145.64,15532.26,3386.5012,17116.736,23711.227,8695.608,19486.238,25774.492,19623.744,18482.854,41542.0,4448.3516,14481.969,18628.902
2236.0332,14715.893,19148.244,15533.1,3394.4224,17116.627,23721.338,8705.439,19485.312,25755.377,19663.107,18489.729,41542.207,4448.8994,14478.318,18640.645
2231.5435,14732.83,19139.422,15527.198,3386.4526,17100.42,23736.049,8711.377,19473.973,25735.604,19649.967,18479.373,41530.297,4434.9062,14481.396,18623.61
2230.6794,14763.456,19142.635,15523.061,3398.231,17109.314,23753.863,8710.599,19484.645,25760.998,19644.807,18496.604,41560.79,4451.491,14504.089,18632.541
2255.8545,14785.163,19165.4,15546.703,3424.3306,17128.309,23744.92,8716.816,19503.053,25777.996,19654.797,18513.176,41575.84,4473.381,14509.687,18642.871
2240.9248,14751.689,19149.021,15542.614,3401.297,17112.43,23738.836,8706.413,19488.854,25755.17,19632.238,18490.094,41540.59,4452.2817,14494.939,18624.352
2236.5078,14773.628,19147.854,15530.836,3398.669,17110.252,23757.94,8718.739,19489.438,25755.205,19663.79,18497.357,41567.93,4450.493,14500.354,18625.775
2242.8108,14777.692,19153.975,15533.562,3418.7456,17118.186,23751.479,8716.573,19496.482,25763.87,19673.742,18516.996,41568.477,4464.5347,14506.718,18632.37
2239.0022,14765.901,19147.963,15542.943,3409.6685,17115.97,23733.773,8692.188,19489.73,25762.713,19662.207,18501.566,41537.805,4456.5527,14494.684,18628.537
2225.8733,14752.919,19133.8,15519.216,3389.4214,17102.123,23736.354,8709.82,19473.95,25744.45,19639.016,18481.295,41556.055,4436.9873,14483.538,18620.555
2224.316,14749.913,19131.707,15517.792,3394.5562,17097.914,23732.266,8704.138,19476.71,25749.305,19637.445,18490.482,41545.008,4443.132,14484.487,18610.613
2231.3367,14751.556,19137.098,15529.887,3397.5618,17102.816,23735.55,8708.092,19487.162,25754.646,19648.14,18497.758,41571.266,4452.8174,14493.406,18622.54
2257.2295,14760.925,19157.588,15554.064,3405.7383,17124.768,23746.137,8714.383,19504.574,25770.367,19674.412,18508.467,41584.37,4460.5684,14499.149,18629.912
2258.4219,14751.945,19157.746,15549.355,3407.6973,17119.121,23748.107,8694.769,19505.158,25780.064,19669.459,18512.81,41590.32,4467.5522,14503.87,18631.871
2267.718,14776.634,19164.135,15533.951,3420.8992,17125.473,23730.5,8722.815,19510.877,25766.314,19663.314,18524.832,41601.99,4469.219,14493.224,18642.322
2233.4294,14734.388,19146.844,15529.838,3391.563,17115.3,23704.754,8699.076,19495.691,25753.21,19637.287,18498.355,41556.59,4448.4614,14479.973,18633.623
2237.396,14712.972,19143.4,15523.207,3386.6716,17107.258,23711.068,8707.18,19496.35,25757.213,19654.201,18493.95,41556.26,4448.4614,14478.769,18617.062
2259.383,14734.375,19161.336,15546.946,3406.9187,17123.72,23723.395,8724.385,19509.357,25768.443,19686.86,18512.762,41559.938,4467.4673,14488.149,18631.275
2259.7969,14731.868,19160.047,15548.272,3397.659,17122.273,23729.855,8714.456,19503.041,25757.566,19665.979,18496.797,41549.973,4454.655,14480.496,18627.844
2259.7969,14724.921,19163.988,15539.548,3396.5151,17129.22,23733.555,8723.18,19501.473,25777.812,19661.879,18491.71,41565.594,4463.5493,14494.757,18641.277
2250.2573,14732.514,19155.654,15540.546,3399.898,17120.303,23737.63,8729.97,19498.26,25766.62,19645.367,18498.72,41557.164,4462.5513,14487.614,18634.938
2237.5056,14728.948,19140.506,15518.7295,3388.7644,17102.928,23725.73,8709.759,19493.38,25747.953,19633.76,18490.86,41551.87,4447.865,14480.618,18620.105
2244.0032,14747.103,19150.86,15533.294,3393.9114,17116.178,23724.37,8710.246,19491.945,25764.05,19676.309,18490.664,41562.36,4449.9824,14490.121,18624.277
2249.8071,14750.205,19150.045,15539.561,3399.7275,17116.713,23721.582,8709.102,19495.352,25763.857,19655.162,18503.453,41557.125,4456.7476,14489.025,18624.484
2249.138,14763.967,19155.01,15545.645,3408.2327,17116.592,23744.92,8710.355,19499.172,25764.318,19641.473,18501.36,41545.613,4458.086,14497.737,18622.246
2240.7788,14745.995,19143.742,15529.145,3383.0457,17109.047,23733.14,8713.434,19481.043,25747.809,19649.176,18473.205,41519.152,4434.8823,14474.205,18616.064
